adaptör	adaptor
anakart	ana kart
ateş ölçer	ateşölçer
bahçe aleti	bahce aleti
bilim kurgu	bilimkurgu
direksiyon göbeği	direksiyon gobegi
dizüstü	diz üstü
dizüstü bilgisayar	diz üstü bilgisayar
eksantrik	eksantrık
enerji tasarruf ampül	enerji tasarruf ampul
eş	es
fotoğraf makinası	fotograf makinası
kartuş	kartus
masaüstü	masa üstü
masaüstü bilgisayar	masa üstü bilgisayar
mikrodalga	mikro dalga
normal tip ampül	normal tip ampul
ortadoğu	orta doğu
parkyatak	park yatak
pelüş	peluş
power supply	powersupply
regülatör	regülator
rot başı	rotbaşı
rotıl	rotil
şampuan	sampuan
setüstü ocak	set üstü ocak
siyah	sıyah
soğutucu	sogutucu
transit	transıt
vibratör	vibrator
